_key,endTime,artistName,trackName,msPlayed
0,2024-12-22 18:27,Billie Eilish,Happier Than Ever,166040
1,2024-12-22 18:30,Billie Eilish,BIRDS OF A FEATHER,209430
2,2024-12-22 18:40,Billie Eilish,WILDFLOWER,261466
3,2024-12-22 18:44,Billie Eilish,WILDFLOWER,247644
4,2024-12-22 18:45,Billie Eilish,WILDFLOWER,36417
5,2024-12-24 20:40,Billie Eilish,WILDFLOWER,36843
6,2024-12-28 20:00,Billie Eilish,CHIHIRO,303440
7,2024-12-28 20:03,Billie Eilish,LUNCH,179586
8,2024-12-28 20:06,Billie Eilish,NDA,194812
9,2024-12-28 20:09,Billie Eilish,Therefore I Am,173539
10,2024-12-28 20:16,Billie Eilish,WILDFLOWER,454092
11,2024-12-28 20:19,Billie Eilish,when the party's over,196077
12,2024-12-28 20:22,Billie Eilish,THE DINER,186346
13,2024-12-28 20:25,Billie Eilish,ilomilo,156370
14,2024-12-28 20:28,Billie Eilish,bad guy,194087
15,2024-12-28 20:33,Billie Eilish,THE GREATEST,293840
16,2024-12-28 20:36,Billie Eilish,Male Fantasy,194886
17,2024-12-28 20:40,Billie Eilish,SKINNY,219733
18,2024-12-28 20:45,Billie Eilish,TV,281380
19,2024-12-28 20:49,Billie Eilish,BITTERSUITE,298440
20,2024-12-28 20:53,Billie Eilish,bury a friend,193143
21,2024-12-28 20:56,Billie Eilish,Oxytocin,210232
22,2024-12-28 20:59,Billie Eilish,you should see me in a crown,180952
23,2024-12-28 21:01,Charli xcx,Guess featuring billie eilish,143330
24,2024-12-28 21:05,Billie Eilish,everything i wanted,245425
25,2024-12-28 21:11,Billie Eilish,BLUE,343120
26,2024-12-28 21:14,Billie Eilish,lovely (with Khalid),200185
27,2024-12-28 21:15,Billie Eilish,idontwannabeyouanymore,30739
28,2024-12-28 21:18,Billie Eilish,ocean eyes,200379
29,2024-12-28 21:24,Billie Eilish,L’AMOUR DE MA VIE,333986
30,2024-12-28 21:28,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",21473
31,2024-12-28 21:28,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],271969
32,2024-12-28 21:31,Billie Eilish,Happier Than Ever,170150
33,2024-12-28 21:35,Billie Eilish,CHIHIRO,6286
34,2024-12-28 21:35,Billie Eilish,BIRDS OF A FEATHER,210373
35,2024-12-28 21:39,Billie Eilish,WILDFLOWER,226810
36,2024-12-28 21:40,Billie Eilish,CHIHIRO,6640
37,2024-12-28 21:40,Billie Eilish,CHIHIRO,81880
38,2024-12-29 14:06,Billie Eilish,CHIHIRO,1500
39,2024-12-29 14:46,Billie Eilish,CHIHIRO,303440
40,2024-12-29 14:49,Billie Eilish,LUNCH,179586
41,2024-12-29 14:50,Billie Eilish,NDA,74848
42,2024-12-29 14:52,Billie Eilish,Therefore I Am,2805
43,2024-12-29 16:52,Billie Eilish,Therefore I Am,128
44,2024-12-29 16:52,Billie Eilish,WILDFLOWER,2666
45,2024-12-29 16:55,Billie Eilish,Therefore I Am,14810
46,2024-12-29 16:55,Billie Eilish,NDA,194822
47,2024-12-29 17:00,Billie Eilish,when the party's over,48916
48,2024-12-29 17:00,Billie Eilish,ilomilo,597
49,2024-12-29 17:00,Billie Eilish,bad guy,554
50,2024-12-29 17:00,Billie Eilish,WILDFLOWER,261466
51,2024-12-29 17:00,Billie Eilish,THE GREATEST,554
52,2024-12-29 17:00,Billie Eilish,THE DINER,2240
53,2024-12-29 17:01,Billie Eilish,you should see me in a crown,704
54,2024-12-29 17:01,Billie Eilish,BLUE,575
55,2024-12-29 17:01,Billie Eilish,TV,917
56,2024-12-29 17:01,Billie Eilish,bury a friend,853
57,2024-12-29 17:01,Billie Eilish,everything i wanted,682
58,2024-12-29 17:01,Billie Eilish,BITTERSUITE,1258
59,2024-12-29 17:01,Billie Eilish,ocean eyes,682
60,2024-12-29 17:01,Charli xcx,Guess featuring billie eilish,703
61,2024-12-29 17:01,Billie Eilish,lovely (with Khalid),661
62,2024-12-29 17:01,Billie Eilish,Oxytocin,725
63,2024-12-29 17:01,Billie Eilish,SKINNY,1066
64,2024-12-29 17:01,Billie Eilish,Male Fantasy,3008
65,2024-12-29 17:01,Billie Eilish,idontwannabeyouanymore,640
66,2024-12-29 17:07,Billie Eilish,L’AMOUR DE MA VIE,333986
67,2024-12-29 17:12,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",14482
68,2024-12-29 17:12,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],271969
69,2024-12-29 17:19,Billie Eilish,Happier Than Ever,183962
70,2024-12-29 23:01,Travis Scott,HIGHEST IN THE ROOM,175720
71,2024-12-29 23:05,Mannie Fresh,Real Big,228826
72,2024-12-29 23:05,T.I.,ASAP,15924
73,2024-12-29 23:05,Jean Grae,Going Crazy (Instr.),14197
74,2024-12-29 23:06,Pitbull,Dammit Man,71765
75,2024-12-29 23:07,Vicarious Visions Audio,Crash Bandicoot Main Theme,47647
76,2024-12-29 23:12,Vicarious Visions Audio,Jungle Rollers,23732
77,2024-12-29 23:19,Bhad Bhabie,Gucci Flip Flops (feat. Lil Yachty),18133
78,2024-12-29 23:19,Ricegum,Its Every Night Sis,155193
79,2024-12-29 23:19,Ricegum,Its Every Night Sis,5629
80,2024-12-29 23:20,Jake Paul,That Ain't On The News,39786
81,2024-12-29 23:22,Jake Paul,It's Everyday Bro,10112
82,2024-12-29 23:22,Jake Paul,It's Everyday Bro,57397
83,2024-12-29 23:22,21 Savage,redrum,949
84,2024-12-29 23:22,¥$,CARNIVAL,8437
85,2024-12-29 23:23,Billie Eilish,BIRDS OF A FEATHER,15903
86,2024-12-29 23:23,Travis Scott,FE!N (feat. Playboi Carti),13834
87,2024-12-29 23:23,Sabrina Carpenter,Espresso,21397
88,2024-12-29 23:24,Tate McRae,It's ok I'm ok,13920
89,2024-12-29 23:24,Tate McRae,greedy,16085
90,2024-12-29 23:24,Ariana Grande,we can't be friends (wait for your love),15274
91,2024-12-29 23:24,The Neighbourhood,Sweater Weather,9450
92,2024-12-30 02:06,Travis Scott,FE!N (feat. Playboi Carti),6282
93,2024-12-30 02:09,Travis Scott,HIGHEST IN THE ROOM,182513
94,2024-12-30 02:10,Isabel LaRosa,Favorite,2778
95,2024-12-30 02:10,Mannie Fresh,Real Big,10197
96,2024-12-30 02:13,K CAMP,Lottery (Renegade),23082
97,2024-12-30 02:13,Travis Scott,SICKO MODE,168309
98,2024-12-30 02:13,Arizona Zervas,ROXANNE,12480
99,2024-12-30 02:14,Ant Saunders,Yellow Hearts,4511
100,2024-12-30 02:14,Don Toliver,No Idea,4063
101,2024-12-30 02:14,Megan Thee Stallion,Savage,2816
102,2024-12-30 02:14,Doja Cat,Like That (feat. Gucci Mane),10314
103,2024-12-30 02:14,Doja Cat,Say So,6538
104,2024-12-30 02:14,Roddy Ricch,The Box,2602
105,2024-12-30 02:14,Tiagz,My Heart Went Oops,7136
106,2024-12-30 02:14,Surfaces,Sunday Best,4256
107,2024-12-30 02:14,Arizona Zervas,ROXANNE,2794
108,2024-12-30 02:14,Kesha,Cannibal,3391
109,2024-12-30 02:15,YNW Melly,Suicidal,6623
110,2024-12-30 02:15,Cookiee Kawaii,Vibe (If I Back It Up),19328
111,2024-12-30 02:16,Doja Cat,Boss Bitch,7210
112,2024-12-30 02:16,sherman,Throw That Back Like a Cadillac,5013
113,2024-12-30 02:16,Ashnikko,STUPID (feat. Yung Baby Tate),2560
114,2024-12-30 02:16,TOKYO’S REVENGE,GOODMORNINGTOKYO!,16383
115,2024-12-30 02:16,DaBaby,VIBEZ,2304
116,2024-12-30 02:17,Doja Cat,Cyber Sex,4853
117,2024-12-30 02:17,Arizona Zervas,FML,4714
118,2024-12-30 02:17,24kGoldn,CITY OF ANGELS,2720
119,2024-12-30 02:17,Doja Cat,Candy,3007
120,2024-12-30 02:17,Ashnikko,Working Bitch,1418
121,2024-12-30 02:17,Peter Kuli,ok boomer (feat. Jed Will),6016
